name,minutes,goals,assists,age,yellow,red
J. Maja,0,0,0,17,0,0
J. Robson,0,0,0,18,0,0
E. Audero,0,0,0,19,0,0
G. Buffon,1306,0,0,38,0,0
L. Loria,0,0,0,17,0,0
Neto,224,0,0,27,0,0
Dani Alves,614,1,0,33,2,0
A. Barzagli,811,0,0,35,2,0
L. Bonucci,948,1,0,29,2,0
G. Chiellini,934,2,1,32,1,0
P. De Ceglie,0,0,0,30,0,0
M. Benatia,531,0,0,29,1,0
P. Evra,247,0,0,35,0,0
S. Lichtsteiner,787,1,0,32,3,0
Alex Sandro,1490,1,3,25,4,0
F. Mattiello,0,0,0,21,0,0
D. Rugani,538,2,0,22,4,0
K. Asamoah,390,0,0,28,1,0
Hernanes,723,1,0,31,3,0
S. Khedira,1143,3,3,29,0,0
M. Lemina,638,0,1,23,1,0
R. Mandragora,0,0,0,19,0,0
C. Marchisio,365,0,1,30,0,0
M. Pjanić,978,5,4,26,1,0
S. Sturaro,409,0,0,23,4,0
J. Cuadrado,816,0,3,28,2,0
P. Dybala,637,3,2,23,0,0
G. Higuaín,1159,10,0,29,0,0
M. Kean,6,0,0,16,0,0
M. Mandžukić,1086,4,2,30,3,0
M. Pjaca,50,0,0,21,0,0
Alisson,0,0,0,24,0,0
L. Crisanto,0,0,0,18,0,0
S. Greco,0,0,0,17,0,0
B. Lobonț,0,0,0,38,0,0
A. Romagnoli,0,0,0,18,0,0
W. Szczęsny,1530,0,0,26,0,0
N. Abdullahi,0,0,0,19,0,0
Bruno Peres,1061,0,1,26,2,0
E. De Santis,0,0,0,19,0,0
F. Fazio,1296,0,0,29,0,0
K. Manolas,1317,1,1,25,3,0
R. Marchizza,0,0,0,18,0,0
Juan Jesus,441,0,0,25,4,0
Emerson,698,0,0,22,1,0
A. Rüdiger,586,0,0,23,4,0
M. Seck,0,0,0,20,0,0
Mário Rui,0,0,0,25,0,0
T. Vermaelen,180,0,0,31,0,0
D. De Rossi,1217,0,2,33,4,0
A. Florenzi,749,0,3,25,3,0
D. Frattesi,0,0,0,17,0,0
L. Grossi,0,0,0,18,0,0
R. Nainggolan,1259,3,1,28,2,0
L. Paredes,552,1,0,22,2,0
D. Perotti,1001,5,4,28,0,0
Mohamed Salah,1202,8,4,24,2,0
Gerson,131,0,0,19,1,0
E. Spinozzi,0,0,0,18,0,0
K. Strootman,1249,2,1,26,2,0
E. Džeko,1428,12,2,30,3,0
S. El Shaarawy,673,2,1,24,0,0
F. Franchi,0,0,0,18,0,0
J. Iturbe,37,0,0,23,0,0
E. Soleri,0,0,0,19,0,0
F. Totti,223,2,2,40,1,0
Rafael,0,0,0,26,0,0
Pepe Reina,1530,0,0,34,0,0
L. Sepe,0,0,0,25,0,0
Albiol,767,0,0,31,4,0
V. Chiricheș,631,2,0,27,0,0
F. Ghoulam,1193,0,3,25,0,0
E. Hysaj,1243,0,0,22,3,0
K. Koulibaly,1392,1,0,25,4,0
C. Maggio,287,0,0,34,0,0
N. Maksimović,270,1,0,25,0,0
I. Strinić,337,0,1,29,1,0
L. Tonelli,0,0,0,26,0,0
I. Łasicki,0,0,0,21,0,0
A. Diawara,501,0,0,19,0,0
O. El Kaddouri,39,0,0,26,0,0
Jorginho,884,0,0,24,2,0
E. Giaccherini,125,0,0,31,0,0
M. Hamšík,1362,5,6,29,1,0
Allan,817,0,1,25,2,0
M. Rog,34,0,0,21,0,0
P. Zieliński,876,2,2,22,2,0
José Callejón,1437,7,7,29,0,0
M. Gabbiadini,491,1,0,25,0,1
L. Insigne,1129,4,5,25,1,0
R. Insigne,0,0,0,22,0,0
D. Mertens,915,10,0,29,5,0
A. Milik,421,4,0,22,1,0
D. Bassi,0,0,0,31,0,0
E. Berisha,900,0,0,27,0,0
S. Mazzini,0,0,0,17,0,0
M. Sportiello,360,0,0,24,0,0
A. Bastoni,0,0,0,17,0,0
M. Caldara,676,3,0,22,1,0
A. Conti,833,1,2,22,5,0
B. Dramé,595,0,0,31,1,0
A. Konko,568,0,0,32,2,0
A. Masiello,1010,3,1,30,2,0
G. Stendardo,44,0,0,35,0,0
E. Suagher,0,0,0,24,0,0
Rafael Tolói,765,0,0,26,5,0
E. Zukanović,853,0,0,29,0,0
B. Cabezas,0,0,0,19,0,0
C. Capone,0,0,0,17,0,0
C. Carmona,101,0,0,29,2,0
M. D'Alessandro,458,0,0,25,0,0
R. Freuler,694,0,1,24,0,0
R. Gagliardini,505,0,2,22,5,0
A. Gómez,1170,3,2,28,1,0
A. Grassi,112,0,0,21,0,0
F. Kessié,1045,5,1,19,3,1
J. Kurtič,1039,4,1,27,1,0
G. Migliaccio,0,0,0,35,0,0
