team,country,name,minutes,goals,assists,age,position,yellow,red
Swansea City,Wales,N. Taylor,581,0,1,27,D,1,0
Swansea City,Wales,M. van der Hoorn,540,1,0,24,D,1,0
Swansea City,Wales,L. Britton,512,0,0,34,M,2,0
Swansea City,Wales,J. Cork,945,0,0,27,M,2,0
Swansea City,Wales,N. Dyer,14,0,0,29,M,0,0
Swansea City,Wales,L. Fer,1060,6,0,26,M,3,0
Swansea City,Wales,J. Fulton,331,0,0,22,M,2,0
Swansea City,Wales,D. James,0,0,0,19,M,0,0
Swansea City,Wales,Sung-Yeung Ki,542,0,0,27,M,0,0
Swansea City,Wales,J. Montero,240,0,1,27,M,0,0
Swansea City,Wales,W. Routledge,895,1,0,31,M,1,0
Swansea City,Wales,G. Sigurðsson,1258,5,5,27,M,1,0
Swansea City,Wales,M. Barrow,1011,0,2,24,A,1,0
Swansea City,Wales,Borja Bastón,374,1,0,24,A,0,0
Swansea City,Wales,Llorente,850,5,0,31,A,0,0
Swansea City,Wales,O. McBurnie,10,0,0,20,A,0,0
Burnley,England,T. Heaton,1170,0,0,30,G,1,0
Burnley,England,N. Pope,0,0,0,24,G,0,0
Burnley,England,P. Robinson,180,0,0,37,G,0,0
Burnley,England,T. Darikwa,0,0,0,24,D,0,0
Burnley,England,J. Flanagan,224,0,0,23,D,1,0
Burnley,England,M. Keane,1350,1,0,23,D,1,0
Burnley,England,K. Long,0,0,0,26,D,0,0
